date,month,operator_name,operator_id,reward_value,el_reward_value,balance,rank_in_month,percentile,threshold,above_threshold_eth,above_threshold_pct,outlier_method,month_mean,month_median,month_std,std_above_mean,days_in_month
2023-03-11,2023-03,Blockscape,5,112.8123,112.8123,236512,1,100.0,100,12.8123,12.8123,absolute_el_based,15.4062,9.361,20.3252,4.7924,31
2023-03-11,2023-03,Staking Facilities,0,108.7252,108.7252,236512,2,96.7742,100,8.7252,8.7252,absolute_el_based,36.5561,9.1856,122.9498,0.587,31
2023-03-20,2023-03,Staking Facilities,0,702.5382,702.5382,236512,1,100.0,100,602.5382,602.5382,absolute_el_based,36.5561,9.1856,122.9498,5.4167,31
2023-04-09,2023-04,P2P.org,2,695.5562,695.5562,236512,1,100.0,100,595.5562,595.5562,absolute_el_based,33.2464,9.9296,123.1041,5.3801,30
2023-04-09,2023-04,Staking Facilities,0,114.3816,114.3816,236512,1,100.0,100,14.3816,14.3816,absolute_el_based,16.5794,9.8911,20.6977,4.7253,30
2023-08-17,2023-08,Staking Facilities,0,199.6339,199.6339,268800,1,100.0,100,99.6339,99.6339,absolute_el_based,15.3038,8.2424,33.938,5.4314,31
2023-12-20,2023-12,Staking Facilities,0,142.9345,142.9345,268800,1,100.0,100,42.9345,42.9345,absolute_el_based,13.6359,7.1655,25.7585,5.0197,31
2024-02-12,2024-02,Chorus One,3,133.947,133.947,283296,1,100.0,100,33.947,33.947,absolute_el_based,12.0553,6.7549,23.491,5.1889,29
2024-04-12,2024-04,Blockscape,5,111.6436,111.6436,280064,1,100.0,100,11.6436,11.6436,absolute_el_based,8.9824,4.7162,19.2702,5.3275,30
2024-08-05,2024-08,Blockscape,5,114.1811,114.1811,275840,1,100.0,100,14.1811,14.1811,absolute_el_based,6.593,2.7785,19.6744,5.4684,31
2025-02-03,2025-02,Attestant (BVI) Limited,29,117.064,117.064,255360,1,100.0,100,17.064,17.064,absolute_el_based,6.0259,1.7903,21.4014,5.1884,28
