date,month,operator_name,operator_id,reward_value,el_reward_value,balance,rank_in_month,percentile,threshold,above_threshold_eth,above_threshold_pct,outlier_method,month_mean,month_median,month_std,std_above_mean,days_in_month
2023-03-11,2023-03,Blockscape,5,138.332,112.8123,236512,1,100.0,100,12.8123,12.8123,absolute_el_based,40.5278,34.5876,20.3818,4.7986,31
2023-03-11,2023-03,Staking Facilities,0,134.2392,108.7252,236512,2,96.7742,100,8.7252,8.7252,absolute_el_based,61.746,34.6146,122.9662,0.5895,31
2023-03-20,2023-03,Staking Facilities,0,727.739,702.5382,236512,1,100.0,100,602.5382,602.5382,absolute_el_based,61.746,34.6146,122.9662,5.4161,31
2023-04-09,2023-04,P2P.org,2,720.4532,695.5562,236512,1,100.0,100,595.5562,595.5562,absolute_el_based,57.9663,35.0232,123.1479,5.3796,30
2023-04-09,2023-04,Staking Facilities,0,139.2537,114.3816,236512,1,100.0,100,14.3816,14.3816,absolute_el_based,41.3223,34.9287,20.7582,4.7177,30
2023-08-17,2023-08,Staking Facilities,0,224.6287,199.6339,268800,1,100.0,100,99.6339,99.6339,absolute_el_based,39.9678,32.677,34.0144,5.4289,31
2023-12-20,2023-12,Staking Facilities,0,164.7713,142.9345,268800,1,100.0,100,42.9345,42.9345,absolute_el_based,35.9469,29.6087,25.7146,5.0098,31
2024-02-12,2024-02,Chorus One,3,156.7428,133.947,283296,1,100.0,100,33.947,33.947,absolute_el_based,35.1472,29.7907,23.4425,5.187,29
2024-04-12,2024-04,Blockscape,5,134.6081,111.6436,280064,1,100.0,100,11.6436,11.6436,absolute_el_based,31.2792,27.1199,19.4134,5.3226,30
2024-08-05,2024-08,Blockscape,5,135.9681,114.1811,275840,1,100.0,100,14.1811,14.1811,absolute_el_based,27.71,24.1193,19.8104,5.4647,31
