Month,Kiln APR (%),Kiln Rank,Total Operators,Percentile,Network Mean APR (%),Network Median APR (%),Top 10 Operators Mean APR (%),Top 10 Operators Median APR (%),Diff vs Mean (bps),Diff vs Median (bps),Extra Rewards vs Mean (ETH),Extra Rewards vs Median (ETH),Extra Rewards vs Top 10 Mean (ETH),Extra Rewards vs Top 10 Median (ETH),Z-Score,Days
2023-01,5.493632288595109,14,30,56.666666666666664,5.489217341312537,5.4421853314681625,5.64848676944424,5.613311490386146,0.4414947282571635,5.1446957126946575,0.8009125625948257,9.332957254757511,-28.092045306127922,-21.71092202485599,0.018255954463742303,28
2023-02,5.712862454217001,5,30,86.66666666666667,5.613941296337456,5.60082097942199,5.7573080546265,5.6858927707650775,9.89211578795446,11.204147479501117,17.30431880039937,19.599461230333002,-7.774887144948793,4.717817809676592,0.5213693838340495,27
2023-03,5.501577132680844,17,30,46.666666666666664,5.595350263355313,5.525335002356844,5.879125538806114,5.774573824033049,-9.377313067446893,-2.3757869675999217,-17.01131940748371,-4.309898865409543,-68.4907977603864,-49.52414279416822,-0.34756401609006743,28
2023-04,5.199248726324678,15,30,53.333333333333336,5.235225739733169,5.197582584087295,5.411369337482193,5.365979958749163,-3.5977013408491216,0.16661422373824564,-6.759656980667403,0.31304849787917527,-39.854963881351956,-31.32683434160355,-0.19911383981855804,29
2023-05,6.707639166512602,10,30,70.0,6.549182809161892,6.582390331424004,6.775670132383123,6.752316140719289,15.845635735071001,12.52488350885983,30.79870634490073,24.344255771302805,-13.22298313073482,-8.68373495375116,0.5965867544908846,30
2023-06,4.936323681268898,14,30,56.666666666666664,4.915986235847316,4.915318208140559,5.0070803522636345,4.986504452521464,2.0337445421581695,2.1005473128338226,3.8318822864635997,3.957748809191711,-13.331626888898462,-9.45481620222272,0.14223788759259978,29
2023-07,4.847546105937382,11,30,66.66666666666666,4.809111924727975,4.8006139726603365,4.899906467020928,4.889498991631887,3.8434181209407585,4.693213327704587,8.311116855813962,10.148738224262942,-11.32255367187188,-9.072011539569178,0.3285490920937843,31
2023-08,4.620407822440155,11,30,66.66666666666666,4.578200899381985,4.5593036976442045,4.886459355350727,4.715923736421268,4.220692305817036,6.110412479594999,9.205207345456982,13.326632164921941,-58.025066684987934,-20.831743450599088,0.11611283925123479,29
2023-09,4.105778473341269,19,29,37.93103448275862,4.119916953784851,4.112871279960549,4.197399970025937,4.188921807686579,-1.4138480443581791,-0.7092806619279912,-3.510198113224025,-1.760949948745119,-22.74711246916763,-20.642216574168312,-0.14163867119190116,30
2023-10,4.008803689173167,3,30,93.33333333333333,3.906508590108975,3.8927700404687395,3.9816553352890747,3.9383918123142054,10.229509906419173,11.603364870442709,24.997985080772875,28.35529214709234,6.634278196809864,17.206641015372636,0.8555738133672842,30
2023-11,4.343883724043003,4,36,91.66666666666666,4.124794254186055,4.068889950339246,4.266693441686346,4.232891106381204,21.90894698569479,27.499377370375708,49.3080720026629,61.88984255118383,17.37237304391243,24.979895140581014,1.291128832789167,29
2023-12,4.147974616618941,7,35,82.85714285714286,4.021147475226039,3.995711317665665,4.162743111036861,4.1766815380126765,12.682714139290244,15.226329895327643,27.425462425286298,32.92584961176859,-3.19358131302475,-6.207666477244907,1.0181903499226461,28
2024-01,3.858244723277932,9,35,77.14285714285715,3.768282898821545,3.7383223962737064,3.912550581092236,3.9155429285720142,8.99618244563874,11.992232700422587,20.843144196462017,27.784656094164816,-12.582057244568643,-13.275350542962844,0.7574811663853784,30
2024-02,3.874464737881812,3,36,94.44444444444444,3.7353323351076737,3.7273591023875174,3.8266605204762194,3.8044460064802874,13.913240277413779,14.710563549429414,30.216538899994855,31.94815203858503,10.382038734462121,15.206549149855727,1.2476622068125802,28
2024-03,3.871581274437748,2,36,97.22222222222221,3.725548665683516,3.7065806414045306,3.8201477724420307,3.825257456229082,14.603260875423185,16.50006330332174,34.51420294416073,38.99721701204236,12.156095416994583,10.948442792616756,1.4442685495939918,30
2024-04,3.730440433687661,1,36,100.0,3.5216933554944103,3.501497700266006,3.6400279121048253,3.646072670513248,20.87470781932506,22.89427334216547,45.03007328133918,49.386598137978375,19.503422551652147,18.19947177804055,1.8427659076428096,28
2024-05,3.475497004347715,2,36,97.22222222222221,3.348059361800858,3.349214509675328,3.433194080439424,3.4315413057538517,12.743764254685708,12.628249467238687,29.325657021732777,29.059837051282198,9.734651495101762,10.114984202099699,1.1435104149125077,30
2024-06,3.5230466852997293,4,36,91.66666666666666,3.4196317418950537,3.4165218114305236,3.5080135525132983,3.501010581496099,10.34149434046755,10.652487386920567,23.220343732878774,23.918634057219624,3.3754745609342223,4.947891358905534,1.0683190039883237,29
2024-07,3.4218922767527333,2,36,97.22222222222221,3.298188240428636,3.299032429153111,3.383845805136361,3.37969468223848,12.370403632409738,12.28598475996226,29.24333594166877,29.043771762507255,8.99409416163089,9.975409606503222,1.6387894706251231,31
2024-08,3.2831166036071826,5,36,88.88888888888889,3.2017383957075056,3.2146592873568762,3.2832665228815188,3.2821737324050346,8.137820789967734,6.845731625030674,18.376260604759764,15.458554767744884,-0.033853727256656634,0.21291261351882923,1.0413912101744147,30
2024-09,3.327549426705861,17,36,55.55555555555556,3.315592369584058,3.32518328791087,3.4015079359392035,3.3838358940755806,1.195705712180306,0.23661387949916457,2.4899611615679063,0.4927294101209298,-15.401265853509067,-11.72120499591006,0.1516377766748435,28
