Month,Kiln APR (%),Kiln Rank,Total Operators,Percentile,Network Mean APR (%),Network Median APR (%),Diff vs Mean (bps),Diff vs Median (bps),Extra Rewards vs Mean (ETH),Extra Rewards vs Median (ETH),Z-Score,Days
2023-01,5.493632288595109,4,6,50.0,5.497522665542398,5.502920638094673,-0.3890376947288804,-0.9288349499562976,-0.7057506173659173,-1.6849931208324995,-0.010397090452839892,28
2023-02,5.712862454217001,2,6,83.33333333333334,5.578224805826607,5.592700287487347,13.46376483903941,12.016216672965513,23.552219163472085,21.020017207730916,0.4419040440594043,27
2023-03,5.501577132680844,5,6,33.33333333333333,5.721307883949147,5.751379264102256,-21.973075126830235,-24.980213142141093,-39.861205087068164,-45.31643356380786,-0.8814165006420926,28
2023-04,5.199248726324678,3,6,66.66666666666666,5.352993725911211,5.179323591873321,-15.37449995865331,1.9925134451356104,-28.886874179848675,3.743698028949153,-0.5440145779176766,29
2023-05,6.62799559294648,2,6,83.33333333333334,6.296471747349671,6.265733089358229,33.15238455968081,36.2262503588251,65.21163054771047,71.25800710581858,0.9765499051914737,30
2023-06,4.454219046173271,3,6,66.66666666666666,4.352216027366319,4.337515258607879,10.200301880695095,11.670378756539131,21.299079886280865,24.368722842322747,0.860524415724637,29
2023-07,4.396223703778018,4,6,50.0,4.412386221870351,4.45508135036672,-1.6162518092333045,-5.885764658870168,-3.706542746366584,-13.497796679036487,-0.11312431766489632,30
2023-08,4.271674146950936,4,6,50.0,4.335435544953649,4.310316635051007,-6.376139800271311,-3.864248810007062,-15.041457033624576,-9.115849756067595,-0.4302246672608923,29
2023-09,3.9255305995550827,3,6,66.66666666666666,3.9286959233162984,3.9134680286377574,-0.3165323761215866,1.2062570917325406,-0.8219476861464252,3.1323185248716223,-0.032525977420163193,30
2023-10,3.9622728976344224,3,6,66.66666666666666,4.010668726417261,3.9491778321948603,-4.8395828782839265,1.3095065439561875,-11.452070704022928,3.0987301810780474,-0.3958977344374874,29
2023-11,4.343883724043003,3,9,77.77777777777779,4.204986572777417,4.130132861815703,13.88971512655858,21.37508622273,31.260063480184975,48.10656994248394,0.46943040866286173,29
2023-12,4.147974616618941,2,9,88.88888888888889,4.016201269600557,3.9735110696690716,13.177334701838516,17.446354694986983,28.495044023038897,37.72649449405308,0.7441666645870831,28
2024-01,3.858244723277932,2,9,88.88888888888889,3.7633761084552875,3.700382303482752,9.48686148226449,15.786241979518016,21.979992406952643,36.57494941744417,0.9335591920905703,30
2024-02,3.8389823130776497,3,9,77.77777777777779,3.7231546204615156,3.688835321331924,11.582769261613418,15.014699174572613,24.30185578821274,31.502402042413973,0.6001562282995225,27
2024-03,3.870920761662279,2,9,88.88888888888889,3.77723682421789,3.7698234833174746,9.368393744438874,10.109727834480415,22.145589203511808,23.898000627334014,0.6930216601367881,30
2024-04,3.730440433687661,1,9,100.0,3.520191997046062,3.512835334940962,21.024843664159896,21.76050987466989,45.3539402381169,46.940889557675874,1.1887274227899187,28
2024-05,3.4395590351204612,2,9,88.88888888888889,3.354239460773741,3.3567789567759956,8.531957434671986,8.27800783444653,19.01643813437185,18.450423020148364,0.4227420439211223,29
2024-06,3.5226203028741825,1,9,100.0,3.385350147070686,3.4007733608114874,13.727015580349624,12.184694206269498,30.825777313156518,27.36229648992686,1.657148972903287,29
