date,month,operator_name,operator_id,reward_value,el_reward_value,balance,rank_in_month,percentile,threshold,above_threshold_eth,above_threshold_pct,outlier_method,month_mean,month_median,month_std,std_above_mean,days_in_month
2023-01-11,2023-01,Blockscape,5,71.2669,71.2669,236512,1,100.0,44.887,26.3799,58.7695,std_el_based,13.9794,8.1071,15.4538,3.707,31
2023-01-12,2023-01,Kiln,8,21.4894,21.4894,236480,1,100.0,19.2515,2.2379,11.6246,std_el_based,10.5097,9.9163,4.3709,2.512,31
2023-01-14,2023-01,Chorus One,3,40.1917,40.1917,224000,1,100.0,23.727,16.4647,69.3925,std_el_based,10.1415,7.5916,6.7927,4.4239,31
2023-01-14,2023-01,Kiln,8,19.67,19.67,236480,2,96.7742,19.2515,0.4185,2.1741,std_el_based,10.5097,9.9163,4.3709,2.0958,31
2023-01-17,2023-01,P2P.org,2,33.2476,33.2476,236512,1,100.0,25.2381,8.0095,31.7358,std_el_based,11.8934,8.5409,6.6724,3.2004,31
2023-01-18,2023-01,Blockscape,5,50.4122,50.4122,236512,3,93.5484,44.887,5.5251,12.3089,std_el_based,13.9794,8.1071,15.4538,2.3575,31
2023-01-18,2023-01,Kiln,8,19.6152,19.6152,236480,3,93.5484,19.2515,0.3638,1.8895,std_el_based,10.5097,9.9163,4.3709,2.0832,31
2023-01-24,2023-01,Attestant (BVI) Limited,29,9.1324,9.1324,51200,1,100.0,4.7517,4.3807,92.1909,std_el_based,1.2557,0.9233,1.748,4.5061,30
2023-01-26,2023-01,Blockscape,5,53.723,53.723,236512,2,96.7742,44.887,8.8359,19.6848,std_el_based,13.9794,8.1071,15.4538,2.5718,31
2023-01-26,2023-01,Staking Facilities,0,30.2162,30.2162,236512,1,100.0,18.0903,12.1259,67.0298,std_el_based,8.961,7.4821,4.5647,4.6565,31
2023-01-29,2023-01,Attestant (BVI) Limited,29,5.2961,5.2961,65856,2,96.6667,4.7517,0.5444,11.4559,std_el_based,1.2557,0.9233,1.748,2.3114,30
2023-01-31,2023-01,P2P.org,2,26.4067,26.4067,236512,2,96.7742,25.2381,1.1686,4.6303,std_el_based,11.8934,8.5409,6.6724,2.1751,31
2023-02-03,2023-02,P2P.org,2,19.1474,19.1474,236512,1,100.0,17.4677,1.6797,9.616,std_el_based,10.6009,10.4403,3.4334,2.4892,28
2023-02-08,2023-02,Staking Facilities,0,19.556,19.556,236512,1,100.0,18.76,0.7959,4.2427,std_el_based,10.5377,8.879,4.1112,2.1936,28
2023-02-12,2023-02,Chorus One,3,40.1699,40.1699,224000,2,96.4286,33.9385,6.2314,18.3608,std_el_based,12.7417,9.7214,10.5984,2.588,28
2023-02-14,2023-02,Attestant (BVI) Limited,29,12.8112,12.8112,95648,1,100.0,8.705,4.1062,47.1708,std_el_based,3.917,3.3591,2.394,3.7152,28
2023-02-14,2023-02,Blockscape,5,30.0443,30.0443,236512,2,96.4286,28.7824,1.2619,4.3843,std_el_based,13.242,11.6047,7.7702,2.1624,28
2023-02-14,2023-02,Chorus One,3,57.0171,57.0171,224000,1,100.0,33.9385,23.0786,68.0012,std_el_based,12.7417,9.7214,10.5984,4.1775,28
2023-02-16,2023-02,Staking Facilities,0,18.764,18.764,236512,2,96.4286,18.76,0.004,0.0213,std_el_based,10.5377,8.879,4.1112,2.001,28
2023-02-21,2023-02,Attestant (BVI) Limited,29,9.2563,9.2563,101856,2,96.4286,8.705,0.5513,6.3329,std_el_based,3.917,3.3591,2.394,2.2303,28
2023-02-21,2023-02,Kiln,8,23.4968,23.4968,236480,1,100.0,19.4387,4.0581,20.8765,std_el_based,11.5066,10.7014,3.966,3.0232,28
2023-02-22,2023-02,Blockscape,5,35.0946,35.0946,236512,1,100.0,28.7824,6.3122,21.9308,std_el_based,13.242,11.6047,7.7702,2.8124,28
2023-03-07,2023-03,P2P.org,2,69.7155,69.7155,236512,2,96.7742,51.3695,18.346,35.7138,std_el_based,16.1678,9.7817,17.6009,3.0423,31
2023-03-11,2023-03,Attestant (BVI) Limited,29,65.5612,65.5612,160000,1,100.0,32.9843,32.5768,98.7645,std_el_based,9.5687,5.6249,11.7078,4.7825,31
2023-03-11,2023-03,Blockscape,5,112.8123,112.8123,236512,1,100.0,56.0566,56.7558,101.2474,std_el_based,15.4062,9.361,20.3252,4.7924,31
2023-03-11,2023-03,Chorus One,3,92.1446,92.1446,224000,1,100.0,49.546,42.5985,85.9777,std_el_based,13.5491,8.4506,17.9985,4.3668,31
2023-03-11,2023-03,Kiln,8,58.2996,58.2996,236480,2,96.7742,44.9711,13.3285,29.6379,std_el_based,15.0177,9.7746,14.9767,2.89,31
2023-03-11,2023-03,P2P.org,2,84.1408,84.1408,236512,1,100.0,51.3695,32.7713,63.7952,std_el_based,16.1678,9.7817,17.6009,3.8619,31
2023-03-12,2023-03,Kiln,8,58.5388,58.5388,236480,1,100.0,44.9711,13.5677,30.1699,std_el_based,15.0177,9.7746,14.9767,2.9059,31
2023-03-13,2023-03,Chorus One,3,67.14,67.14,224000,2,96.7742,49.546,17.594,35.5103,std_el_based,13.5491,8.4506,17.9985,2.9775,31
2023-03-13,2023-03,Kiln,8,55.99,55.99,236480,3,93.5484,44.9711,11.0189,24.5023,std_el_based,15.0177,9.7746,14.9767,2.7357,31
2023-03-20,2023-03,Staking Facilities,0,702.5382,702.5382,236512,1,100.0,282.4557,420.0825,148.7251,std_el_based,36.5561,9.1856,122.9498,5.4167,31
2023-04-09,2023-04,P2P.org,2,695.5562,695.5562,236512,1,100.0,279.4545,416.1017,148.8978,std_el_based,33.2464,9.9296,123.1041,5.3801,30
2023-04-09,2023-04,Staking Facilities,0,114.3816,114.3816,236512,1,100.0,57.9747,56.4069,97.2956,std_el_based,16.5794,9.8911,20.6977,4.7253,30
2023-04-13,2023-04,Kiln,8,39.0982,39.0982,236480,1,100.0,23.67,15.4282,65.1802,std_el_based,9.9218,7.7339,6.8741,4.2444,30
2023-04-18,2023-04,Attestant (BVI) Limited,29,18.5984,18.5984,175104,1,100.0,15.5334,3.0649,19.7313,std_el_based,7.2556,6.6928,4.1389,2.7405,30
2023-04-19,2023-04,Attestant (BVI) Limited,29,17.3573,17.3573,177536,2,96.6667,15.5334,1.8239,11.7417,std_el_based,7.2556,6.6928,4.1389,2.4407,30
2023-04-19,2023-04,Blockscape,5,38.1218,38.1218,236512,1,100.0,24.0368,14.0849,58.5973,std_el_based,10.2984,8.8029,6.8692,4.0504,30
2023-04-19,2023-04,Chorus One,3,18.7663,18.7663,224000,1,100.0,16.7,2.0663,12.3731,std_el_based,8.8887,8.4219,3.9056,2.5291,30
2023-04-20,2023-04,Blockscape,5,25.7926,25.7926,236512,2,96.6667,24.0368,1.7557,7.3044,std_el_based,10.2984,8.8029,6.8692,2.2556,30
2023-04-20,2023-04,Chorus One,3,18.5163,18.5163,224000,2,96.6667,16.7,1.8163,10.876,std_el_based,8.8887,8.4219,3.9056,2.465,30
2023-05-05,2023-05,Blockscape,5,38.1378,38.1378,236512,2,96.7742,35.1564,2.9814,8.4805,std_el_based,18.0049,15.3903,8.5757,2.3477,31
2023-05-05,2023-05,Chorus One,3,32.9753,32.9753,224000,2,96.7742,32.828,0.1473,0.4487,std_el_based,17.7619,16.757,7.533,2.0196,31
